Umur_bulan,Jenis_Kelamin,Tinggi_Minimal_cm
0,0,46.000000000000085
0,1,46.000000000000085
1,0,50.300000000000146
1,1,50.300000000000146
2,0,54.500000000000206
2,1,54.500000000000206
3,0,55.70000000000022
3,1,55.70000000000022
4,0,59.70000000000028
4,1,59.70000000000028
5,0,60.30000000000029
5,1,60.30000000000029
6,0,63.40000000000033
6,1,63.40000000000033
7,0,64.8000000000003
7,1,64.8000000000003
8,0,66.10000000000022
8,1,66.10000000000022
9,0,65.50000000000026
9,1,65.50000000000026
10,0,68.70000000000007
10,1,68.70000000000007
11,0,70.0
11,1,70.0
12,0,70.99999999999994
12,1,70.99999999999994
13,0,72.09999999999988
13,1,72.09999999999988
14,0,72.69999999999985
14,1,72.69999999999985
15,0,73.4999999999998
15,1,73.4999999999998
16,0,73.4999999999998
16,1,73.4999999999998
17,0,74.09999999999977
17,1,74.09999999999977
18,0,76.9999999999996
18,1,76.9999999999996
19,0,77.69999999999956
19,1,77.69999999999956
20,0,78.49999999999952
20,1,78.49999999999952
21,0,79.09999999999948
21,1,79.09999999999948
22,0,79.89999999999944
22,1,79.89999999999944
23,0,80.09999999999943
23,1,80.09999999999943
24,0,80.09999999999943
24,1,80.09999999999943
25,0,80.09999999999943
25,1,80.09999999999943
26,0,80.89999999999938
26,1,80.89999999999938
27,0,82.09999999999931
27,1,82.09999999999931
28,0,82.79999999999927
28,1,82.79999999999927
29,0,82.99999999999926
29,1,82.99999999999926
30,0,84.49999999999918
30,1,84.49999999999918
31,0,85.59999999999911
31,1,85.59999999999911
32,0,86.39999999999907
32,1,86.39999999999907
33,0,86.49999999999906
33,1,86.49999999999906
34,0,86.49999999999906
34,1,86.49999999999906
35,0,86.99999999999903
35,1,86.99999999999903
36,0,88.59999999999894
36,1,88.59999999999894
37,0,89.19999999999891
37,1,89.19999999999891
38,0,88.99999999999892
38,1,88.99999999999892
39,0,89.59999999999889
39,1,89.59999999999889
40,0,90.59999999999883
40,1,90.59999999999883
41,0,91.29999999999879
41,1,91.29999999999879
42,0,91.1999999999988
42,1,91.1999999999988
43,0,91.89999999999876
43,1,91.89999999999876
44,0,92.69999999999871
44,1,92.69999999999871
45,0,92.8999999999987
45,1,92.8999999999987
46,0,93.59999999999866
46,1,93.59999999999866
47,0,94.29999999999862
47,1,94.29999999999862
48,0,94.49999999999861
48,1,94.49999999999861
49,0,94.99999999999858
49,1,94.99999999999858
50,0,95.39999999999856
50,1,95.39999999999856
51,0,95.89999999999853
51,1,95.89999999999853
52,0,96.79999999999848
52,1,96.79999999999848
53,0,97.29999999999845
53,1,97.29999999999845
54,0,97.49999999999844
54,1,97.49999999999844
55,0,97.79999999999842
55,1,97.79999999999842
56,0,98.49999999999838
56,1,98.49999999999838
57,0,99.09999999999835
57,1,99.09999999999835
58,0,99.29999999999833
58,1,99.29999999999833
59,0,100.29999999999828
59,1,100.29999999999828
